title,author,number,publicationDate,image
Mr. Bounce,Roger Hargreaves,22,4/14/76,http://mrmen.com/characters/mr-bounce/mmb.jpg
Mr. Brave,Roger Hargreaves,40,1990,http://mrmen.com/characters/mr-brave/mmb.jpg
Mr. Bump,Roger Hargreaves,6,8/10/71,http://www.mrmen.com/wp-content/uploads/2013/08/01.jpg
Mr. Busy,Roger Hargreaves,38,3/18/78,http://mrmen.com/characters/mr-busy/mmb.jpg
Mr. Chatterbox,Roger Hargreaves,20,1/19/76,http://mrmen.com/characters/mr-chatterbox/mmb.jpg
Mr. Cheerful,Roger Hargreaves,43,5/9/90,http://mrmen.com/characters/mr-cheerful/mmb.jpg
Mr. Clever,Roger Hargreaves,37,3/18/78,http://mrmen.com/characters/mr-clever/mmb.jpg
Mr. Clumsy,Roger Hargreaves,28,3/5/78,http://mrmen.com/characters/mr-clumsy/mmb.jpg
Mr. Cool,Adam Hargreaves,44,4/3/03,http://mrmen.com/characters/mr-cool/mmb.jpg
Mr. Daydream,Roger Hargreaves,13,8/15/72,http://mrmen.com/characters/mr-daydream/mmb.jpg
Mr. Dizzy,Roger Hargreaves,24,4/14/76,http://mrmen.com/characters/mr-dizzy/mmb.jpg
Mr. Forgetful,Roger Hargreaves,14,1/19/76,http://mrmen.com/characters/mr-forgetful/mmb.jpg
Mr. Funny,Roger Hargreaves,18,1/19/76,http://mrmen.com/characters/mr-funny/mmb.jpg
Mr. Fussy,Roger Hargreaves,21,4/14/76,http://mrmen.com/characters/mr-fussy/mmb.jpg
Mr. Good,Adam Hargreaves,46,4/4/03,http://mrmen.com/characters/mr-good/mmb.jpg
Mr. Greedy,Roger Hargreaves,2,8/10/71,http://mrmen.com/characters/mr-greedy/mmb.jpg
Mr. Grumble,Roger Hargreaves,41,5/9/90,http://mrmen.com/characters/mr-grumble/mmb.jpg
Mr. Grumpy,Roger Hargreaves,27,3/5/78,http://mrmen.com/characters/mr-grumpy/mmb.jpg
Mr. Happy,Roger Hargreaves,3,8/10/71,http://www.mrmen.com/wp-content/uploads/2013/08/012.jpg
Mr. Impossible,Roger Hargreaves,25,4/14/76,http://mrmen.com/characters/mr-impossible/mmb.jpg
Mr. Jelly,Roger Hargreaves,15,1/19/76,http://mrmen.com/characters/mr-jelly/mmb.jpg
Mr. Lazy,Roger Hargreaves,17,1/19/76,http://mrmen.com/characters/mr-lazy/mmb.jpg
Mr. Mean,Roger Hargreaves,19,1/19/76,http://mrmen.com/characters/mr-mean/mmb.jpg
Mr. Messy,Roger Hargreaves,8,8/15/72,http://mrmen.com/characters/mr-messy/mmb.jpg
Mr. Mischief,Roger Hargreaves,36,3/18/78,http://mrmen.com/characters/mr-mischief/mmb.jpg
Mr. Muddle,Roger Hargreaves,23,4/14/76,http://mrmen.com/characters/mr-muddle/mmb.jpg
Mr. Noisy,Roger Hargreaves,16,1/19/76,http://mrmen.com/characters/mr-noisy/mmb.jpg
Mr. Nonsense,Roger Hargreaves,33,3/18/78,http://mrmen.com/characters/mr-nonsense/mmb.jpg
Mr. Nosey,Roger Hargreaves,4,8/10/71,http://mrmen.com/characters/mr-nosey/mmb.jpg
Mr. Perfect,Roger Hargreaves,42,5/9/88,http://mrmen.com/characters/mr-perfect/mmb.jpg
Mr. Quiet,Roger Hargreaves,29,3/5/78,http://mrmen.com/characters/mr-quiet/mmb.jpg
Mr. Rude,Adam Hargreaves,45,4/3/03,http://mrmen.com/characters/mr-rude/mmb.jpg
Mr. Rush,Roger Hargreaves,30,3/5/78,http://mrmen.com/characters/mr-rush/mmb.jpg
Mr. Silly,Roger Hargreaves,10,8/15/72,http://mrmen.com/characters/mr-silly/mmb.jpg
Mr. Skinny,Roger Hargreaves,35,3/18/78,http://mrmen.com/characters/mr-skinny/mmb.jpg
Mr. Slow,Roger Hargreaves,39,10/1/78,http://mrmen.com/characters/mr-slow/mmb.jpg
Mr. Small,Roger Hargreaves,12,8/15/72,http://mrmen.com/characters/mr-small/mmb.jpg
Mr. Sneeze,Roger Hargreaves,5,8/10/71,http://mrmen.com/characters/mr-sneeze/mmb.jpg
Mr. Snow,Roger Hargreaves,7,1/3/72,http://mrmen.com/characters/mr-snow/mmb.jpg
Mr. Strong,Roger Hargreaves,26,4/14/76,http://www.mrmen.com/wp-content/uploads/2013/07/01.jpg
Mr. Tall,Roger Hargreaves,31,1/1/76,http://mrmen.com/characters/mr-tall/mmb.jpg
Mr. Tickle,Roger Hargreaves,1,8/10/71,http://www.mrmen.com/wp-content/uploads/2013/08/013.jpg
Mr. Topsy-Turvy,Roger Hargreaves,9,8/15/72,http://mrmen.com/characters/mr-topsy-turvy/mmb.jpg
Mr. Uppity,Roger Hargreaves,11,8/15/72,http://mrmen.com/characters/mr-uppity/mmb.jpg
Mr. Worry,Roger Hargreaves,32,3/5/78,http://mrmen.com/characters/mr-worry/mmb.jpg
Mr. Wrong,Roger Hargreaves,34,3/18/78,http://mrmen.com/characters/mr-wrong/mmb.jpg